 , ,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
BH,#valid,93,187,280,374,468,561,655,748,842,936
size=5,dist.,217761501874308249600,285757791562212491520,354825123777119821698,354825128675635904898,354835704572111398326,354846282101425741704,354846286999941824904,354856862896417318326,354867440425983526320,354867440425983526320
,%space,52.94%,69.47%,86.27%,86.27%,86.27%,86.27%,86.27%,86.27%,86.28%,86.28%
BH,#valid,760,1520,2280,3040,3801,4561,5321,6081,6841,7602
size=6,dist.,322152083531019281489417286,322165113288894763192099830,384951877012806142602427564,384951877917231722026732838,384956220566871614814711831,384956221471339048838883947,384960564422468090659742902,384964907675107199370620774,384969251229235455661547928,384969251229235455661547928
,%space,73.55%,73.56%,87.89%,87.89%,87.89%,87.89%,87.89%,87.9%,87.9%,87.9%
BH,#valid,10741,21483,32224,42966,53708,64449,75191,85932,96674,107416
size=7,dist.,781370720418800933418504855355392,908487224748359898452176819009584,908491669246908241875724359809032,908496113900435954254638705096736,908496114520531842593647685351464,908500559019058561240367159916592,908505003517596091521209384155152,908509448016133622933468803840032,908513892514676560917094034913320,908513892514676560917094034913320
,%space,76.64%,89.11%,89.11%,89.11%,89.11%,89.11%,89.11%,89.11%,89.11%,89.11%
DLL,#valid,15,30,45,60,75,90,105,120,135,151
size=5,dist.,1951555487095991,1951557470187535,1952231738606898,1952235681747589,1952909950133338,1952909967478162,1952911944771291,1952913916366847,1952915887945596,1952915887945596
,%space,17.12%,17.12%,17.13%,17.13%,17.13%,17.13%,17.13%,17.13%,17.13%,17.13%
DLL,#valid,9482,18965,28448,37931,47414,56896,66379,75862,85345,94828
size=9,dist.,19442458409173888037416957276457,19443648436639418795217895609381,19443650227500410753862172363981,19444840254292685309632403640770,19444841149051190223778764746024,19444842044480421445424540021458,19444842939238420153899526952765,19444842940583920143764862135303,19444842941928916204458712752828,19444842941928916204458712752828
,%space,10.13%,10.13%,10.13%,10.13%,10.13%,10.13%,10.13%,10.13%,10.13%,10.13%
DLL,#valid,56259,112519,168778,225038,281297,337557,393816,450076,506335,562595
size=10,dist.,452444363698868230096865397330643392,452464133597559899528087988545909184,452464145064980117494231004702686656,452483903529367603309486033915907520,452483914970300364610798668300388800,452483926417842525919191263098944960,452483937852146711760187295567796672,452483937865396184070338989851367872,452483937878634166197422858541566400,452483937878634166197422858541566400
,%space,9.19%,9.19%,9.19%,9.19%,9.19%,9.19%,9.19%,9.19%,9.19%,9.19%
BT,#valid,4,8,12,16,21,25,29,33,37,42
size=5,dist.,63997560,64696500,64852920,80767800,81467640,81648180,85665780,85698000,85885920,85885920
,%space,17.64%,17.83%,17.88%,22.26%,22.46%,22.51%,23.61%,23.62%,23.67%,23.67%
BT,#valid,486,972,1458,1944,2431,2917,3403,3889,4375,4862
size=9,dist.,1023004506007080900,1023400567000089000,1200304056078900000,1203004560007080900,1203405000678000900,1230004506007080900,1230400567000089000,1234000056078900000,1234056070000809000,1234056070000809000
,%space,10.23%,10.23%,12%,12.03%,12.03%,12.3%,12.3%,12.34%,12.34%,12.34%
BT,#valid,1679,3359,5038,6718,8398,10077,11757,13436,15116,16796
size=10,dist.,685387864170234579365,685571870042213667755,795207718345259724285,796586229584256526855,796770235413151411445,811749638415703608445,811933644287471866435,813769907344513902695,813793147390123715375,813793147390123715375
