,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
BH,#expl.,406,812,1218,1624,2030,2436,2842,3248,3654,4061,4467,4873,5279,5685,6091,6497,6903,7309,7715,8122
size=5,#valid,6,6,6,6,21,21,96,96,96,96,96,96,236,236,271,662,936,936,936,936
,%valid,0.64,0.64,0.64,0.64,2.24,2.24,10.26,10.26,10.26,10.26,10.26,10.26,25.21,25.21,28.95,70.73,100.0,100.0,100.0,100.0
BH,#expl.,588905,1177810,1766716,2355621,2944526,3533432,4122337,4711242,5300148,5889053,6477958,7066864,7655769,8244674,8833580,9422485,10011390,10600296,11189201,11778107
size=9,#valid,460,12010,73073,531760,711042,1217478,1556280,2139422,2722550,3305660,3888750,4471832,5054843,5636357,6209085,6781758,7354311,7916993,8471044,8746120
,%valid,0.01,0.14,0.84,6.08,8.13,13.92,17.79,24.46,31.13,37.8,44.46,51.13,57.8,64.44,70.99,77.54,84.09,90.52,96.85,100.0
BH,#expl.,7536373,15072747,22609120,30145494,37681867,45218241,52754614,60290988,67827361,75363735,82900109,90436482,97972856,105509229,113045603,120581976,128118350,135654723,143191097,150727471
size=10,#valid,1032787,5827638,13286403,20401942,25609555,31821585,37929672,44144819,50249787,56468067,62569889,68791304,74889871,81114531,87208985,93437740,99528097,105760968,111847200,117157172
,%valid,0.88,4.97,11.34,17.41,21.86,27.16,32.38,37.68,42.89,48.2,53.41,58.72,63.92,69.24,74.44,79.75,84.95,90.27,95.47,100.0
DLL,#expl.,11,22,34,45,57,68,80,91,103,114,125,137,148,160,171,183,194,206,217,229
size=5,#valid,0,0,0,0,11,22,34,45,57,68,79,91,102,114,125,137,148,151,151,151
,%valid,0.0,0.0,0.0,0.0,7.28,14.57,22.52,29.8,37.75,45.03,52.32,60.26,67.55,75.5,82.78,90.73,98.01,100.0,100.0,100.0
DLL,#expl.,4751,9502,14253,19004,23755,28506,33257,38008,42759,47510,52261,57012,61763,66514,71265,76016,80767,85518,90269,95020
size=9,#valid,4615,9366,14117,18868,23619,28370,33121,37872,42623,47374,52125,56876,61627,66378,71129,75880,80631,85382,90133,94828
,%valid,4.87,9.88,14.89,19.9,24.91,29.92,34.93,39.94,44.95,49.96,54.97,59.98,64.99,70.0,75.01,80.02,85.03,90.04,95.05,100.0
DLL,#expl.,28141,56282,84423,112564,140705,168846,196988,225129,253270,281411,309552,337693,365834,393976,422117,450258,478399,506540,534681,562823
size=10,#valid,27975,56116,84257,112398,140539,168680,196822,224963,253104,281245,309386,337527,365668,393810,421951,450092,478233,506374,534515,562595
,%valid,4.97,9.97,14.98,19.98,24.98,29.98,34.98,39.99,44.99,49.99,54.99,59.99,65.0,70.0,75.0,80.0,85.0,90.01,95.01,100.0
BT,#expl.,47,94,142,189,236,284,331,378,426,473,520,568,615,662,710,757,804,852,899,947
size=5,#valid,2,5,7,9,11,13,15,18,19,22,24,27,28,30,33,35,37,39,41,42
,%valid,4.76,11.9,16.67,21.43,26.19,30.95,35.71,42.86,45.24,52.38,57.14,64.29,66.67,71.43,78.57,83.33,88.1,92.86,97.62,100.0
BT,#expl.,10522,21044,31566,42088,52611,63133,73655,84177,94699,105222,115744,126266,136788,147310,157833,168355,178877,189399,199921,210444
size=9,#valid,253,499,749,994,1241,1473,1726,1971,2221,2468,2712,2948,3199,3444,3689,3924,4168,4409,4646,4862
,%valid,5.2,10.26,15.41,20.44,25.52,30.3,35.5,40.54,45.68,50.76,55.78,60.63,65.8,70.84,75.87,80.71,85.73,90.68,95.56,100.0
BT,#expl.,40755,81510,122265,163020,203775,244530,285285,326040,366795,407550,448305,489060,529815,570570,611325,652080,692835,733590,774345,815100
