,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
DLL,#expl.,15,31,47,63,78,94,110,126,141,157,173,189,204,220,236,252,267,283,299,315
size=5,#valid,2,5,9,15,23,39,52,52,66,82,98,114,129,145,161,177,192,203,203,203
,%valid,0.99,2.46,4.43,7.39,11.33,19.21,25.62,25.62,32.51,40.39,48.28,56.16,63.55,71.43,79.31,87.19,94.58,100.0,100.0,100.0
DLL,#expl.,5813,11626,17439,23252,29065,34878,40691,46504,52317,58130,63943,69756,75569,81382,87195,93008,98821,104634,110447,116261
size=9,#valid,5628,11441,17254,23031,28844,34657,40470,46283,52096,57909,63722,69535,75348,81161,86974,92787,98600,104413,110226,115975
,%valid,4.85,9.87,14.88,19.86,24.87,29.88,34.9,39.91,44.92,49.93,54.94,59.96,64.97,69.98,74.99,80.01,85.02,90.03,95.04,100.0
DLL,#expl.,33945,67891,101836,135782,169728,203673,237619,271564,305510,339456,373401,407347,441292,475238,509184,543129,577075,611020,644966,678912
size=10,#valid,33715,67661,101606,135512,169458,203403,237349,271294,305240,339186,373131,407077,441022,474968,508914,542859,576805,610750,644696,678570
,%valid,4.97,9.97,14.97,19.97,24.97,29.98,34.98,39.98,44.98,49.99,54.99,59.99,64.99,70.0,75.0,80.0,85.0,90.01,95.01,100.0
BT,#expl.,63,127,190,254,318,381,445,508,572,636,699,763,826,890,954,1017,1081,1144,1208,1272
size=5,#valid,6,10,13,17,19,23,26,30,33,37,40,43,46,49,53,56,58,61,64,65
,%valid,9.23,15.38,20.0,26.15,29.23,35.38,40.0,46.15,50.77,56.92,61.54,66.15,70.77,75.38,81.54,86.15,89.23,93.85,98.46,100.0
BT,#expl.,13635,27270,40905,54541,68176,81811,95447,109082,122717,136353,149988,163623,177258,190894,204529,218164,231800,245435,259070,272706
size=9,#valid,375,727,1091,1441,1791,2117,2482,2835,3198,3549,3896,4226,4590,4938,5288,5613,5963,6299,6631,6918
,%valid,5.42,10.51,15.77,20.83,25.89,30.6,35.88,40.98,46.23,51.3,56.32,61.09,66.35,71.38,76.44,81.14,86.2,91.05,95.85,100.0
BT,#expl.,52612,105224,157836,210448,263060,315672,368284,420896,473508,526120,578732,631344,683956,736568,789180,841792,894404,947016,999628,1052240
size=10,#valid,1248,2458,3693,4897,6088,7226,8463,9660,10882,12092,13260,14427,15656,16868,18045,19199,20394,21509,22678,23714
,%valid,5.26,10.37,15.57,20.65,25.67,30.47,35.69,40.74,45.89,50.99,55.92,60.84,66.02,71.13,76.09,80.96,86.0,90.7,95.63,100.0
SL,#expl.,104,209,314,418,523,628,732,837,942,1047,1151,1256,1361,1465,1570,1675,1779,1884,1989,2094
size=5,#valid,33,74,100,135,164,188,204,224,259,290,311,330,351,375,397,410,432,442,456,462
,%valid,7.14,16.02,21.65,29.22,35.5,40.69,44.16,48.48,56.06,62.77,67.32,71.43,75.97,81.17,85.93,88.74,93.51,95.67,98.7,100.0
SL,#expl.,37805,75611,113416,151222,189028,226833,264639,302444,340250,378056,415861,453667,491472,529278,567084,604889,642695,680500,718306,756112
size=9,#valid,7410,13453,18571,24228,29523,34425,38860,42642,47817,53205,57980,62451,66493,70744,75223,79286,83045,86674,89910,92378
,%valid,8.02,14.56,20.1,26.23,31.96,37.27,42.07,46.16,51.76,57.59,62.76,67.6,71.98,76.58,81.43,85.83,89.9,93.83,97.33,100.0
SL,#expl.,161678,323357,485036,646715,808394,970073,1131752,1293431,1455110,1616789,1778468,1940147,2101826,2263505,2425184,2586863,2748542,2910221,3071900,3233579
size=10,#valid,27397,49822,69429,90442,110596,128782,145726,161524,179670,200024,218315,235490,251880,267411,284356,300779,315058,329757,342602,352716
,%valid,7.77,14.13,19.68,25.64,31.36,36.51,41.32,45.79,50.94,56.71,61.9,66.76,71.41,75.81,80.62,85.28,89.32,93.49,97.13,100.0
RBT,#expl.,303,607,910,1214,1518,1821,2125,2429,2732,3036,3340,3643,3947,4251,4554,4858,5162,5465,5769,6073
size=5,#valid,21,21,21,31,31,32,65,71,81,83,84,94,96,97,103,109,110,112,114,115
,%valid,18.26,18.26,18.26,26.96,26.96,27.83,56.52,61.74,70.43,72.17,73.04,81.74,83.48,84.35,89.57,94.78,95.65,97.39,99.13,100.0
RBT,#expl.,113451,226903,340354,453806,567258,680709,794161,907613,1021064,1134516,1247968,1361419,1474871,1588323,1701774,1815226,1928678,2042129,2155581,2269033
size=9,#valid,55,55,55,91,91,91,1504,2192,2939,3528,4167,4985,5625,6098,6444,6528,6608,6673,6729,6753
,%valid,0.81,0.81,0.81,1.35,1.35,1.35,22.27,32.46,43.52,52.24,61.71,73.82,83.3,90.3,95.42,96.67,97.85,98.82,99.64,100.0
RBT,#expl.,547191,1094382,1641574,2188765,2735957,3283148,3830340,4377531,4924723,5471914,6019105,6566297,7113488,7660680,8207871,8755063,9302254,9849446,10396637,10943829
