,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
BH,#valid,46,93,140,187,234,280,327,374,421,468,514,561,608,655,702,748,795,842,889,936
size=5,#expl.,2749,2806,4983,5045,5149,6100,6147,6195,6242,6291,6337,6387,6438,6490,6541,6589,6646,6703,6763,6841
,%expl.,33.85,34.55,61.35,62.12,63.4,75.1,75.68,76.27,76.85,77.46,78.02,78.64,79.27,79.91,80.53,81.13,81.83,82.53,83.27,84.23
BH,#valid,437306,874612,1311918,1749224,2186530,2623836,3061142,3498448,3935754,4373060,4810366,5247672,5684978,6122284,6559590,6996896,7434202,7871508,8308814,8746120
size=9,#expl.,2152223,3122762,3675024,4317186,4758817,5200452,5642109,6083759,6525431,6967103,7408806,7850554,8294671,8744313,9194011,9643743,10093582,10552390,11013075,11498992
,%expl.,18.27,26.51,31.2,36.65,40.4,44.15,47.9,51.65,55.4,59.15,62.9,66.65,70.42,74.24,78.06,81.88,85.7,89.59,93.5,97.63
BH,#valid,5857858,11715717,17573575,23431434,29289293,35147151,41005010,46862868,52720727,58578586,64436444,70294303,76152161,82010020,87867879,93725737,99583596,105441454,111299313,117157172
size=10,#expl.,15103230,21009555,27006603,34946051,42229496,49313106,56442283,63728367,70811964,77938503,85227228,92310810,99434739,106726104,113809667,120930972,128224994,135308545,142427227,149723898
,%expl.,10.02,13.94,17.92,23.18,28.02,32.72,37.45,42.28,46.98,51.71,56.54,61.24,65.97,70.81,75.51,80.23,85.07,89.77,94.49,99.33
DLL,#valid,7,15,22,30,37,45,52,60,67,75,83,90,98,105,113,120,128,135,143,151
size=5,#expl.,53,61,68,76,83,91,98,106,113,121,129,136,144,151,159,166,174,181,189,197
,%expl.,23.14,26.64,29.69,33.19,36.24,39.74,42.79,46.29,49.34,52.84,56.33,59.39,62.88,65.94,69.43,72.49,75.98,79.04,82.53,86.03
DLL,#valid,4741,9482,14224,18965,23707,28448,33189,37931,42672,47414,52155,56896,61638,66379,71121,75862,80603,85345,90086,94828
size=9,#expl.,4877,9618,14360,19101,23843,28584,33325,38067,42808,47550,52291,57032,61774,66515,71257,75998,80739,85481,90222,94964
,%expl.,5.13,10.12,15.11,20.1,25.09,30.08,35.07,40.06,45.05,50.04,55.03,60.02,65.01,70.0,74.99,79.98,84.97,89.96,94.95,99.94
DLL,#valid,28129,56259,84389,112519,140648,168778,196908,225038,253167,281297,309427,337557,365686,393816,421946,450076,478205,506335,534465,562595
size=10,#expl.,28295,56425,84555,112685,140814,168944,197074,225204,253333,281463,309593,337723,365852,393982,422112,450242,478371,506501,534631,562761
,%expl.,5.03,10.03,15.02,20.02,25.02,30.02,35.02,40.01,45.01,50.01,55.01,60.01,65.0,70.0,75.0,80.0,84.99,89.99,94.99,99.99
BT,#valid,2,4,6,8,10,12,14,16,18,21,23,25,27,29,31,33,35,37,39,42
size=5,#expl.,31,70,122,161,196,240,285,339,378,445,484,533,568,630,669,704,748,793,842,917
,%expl.,3.27,7.39,12.88,17.0,20.7,25.34,30.1,35.8,39.92,46.99,51.11,56.28,59.98,66.53,70.64,74.34,78.99,83.74,88.91,96.83
BT,#valid,243,486,729,972,1215,1458,1701,1944,2187,2431,2674,2917,3160,3403,3646,3889,4132,4375,4618,4862
size=9,#expl.,10051,20541,30669,41082,51493,62433,72651,83036,93164,103683,114078,125006,135134,145547,155958,166893,177208,187801,198650,210354
,%expl.,4.78,9.76,14.57,19.52,24.47,29.67,34.52,39.46,44.27,49.27,54.21,59.4,64.21,69.16,74.11,79.31,84.21,89.24,94.4,99.96
