,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
DLL,#valid,10,20,30,40,50,60,71,81,91,101,111,121,131,142,152,162,172,182,192,203
size=5,#expl.,48,75,85,95,105,135,146,156,166,176,186,196,206,217,227,237,247,257,267,278
,%expl.,15.24,23.81,26.98,30.16,33.33,42.86,46.35,49.52,52.7,55.87,59.05,62.22,65.4,68.89,72.06,75.24,78.41,81.59,84.76,88.25
DLL,#valid,5798,11597,17396,23195,28993,34792,40591,46390,52188,57987,63786,69585,75383,81182,86981,92780,98578,104377,110176,115975
size=9,#expl.,5983,11782,17581,23416,29214,35013,40812,46611,52409,58208,64007,69806,75604,81403,87202,93001,98799,104598,110397,116196
,%expl.,5.15,10.13,15.12,20.14,25.13,30.12,35.1,40.09,45.08,50.07,55.05,60.04,65.03,70.02,75.01,79.99,84.98,89.97,94.96,99.94
DLL,#valid,33928,67857,101785,135714,169642,203571,237499,271428,305356,339285,373213,407142,441070,474999,508927,542856,576784,610713,644641,678570
size=10,#expl.,34158,68087,102015,135984,169912,203841,237769,271698,305626,339555,373483,407412,441340,475269,509197,543126,577054,610983,644911,678840
,%expl.,5.03,10.03,15.03,20.03,25.03,30.02,35.02,40.02,45.02,50.01,55.01,60.01,65.01,70.0,75.0,80.0,85.0,89.99,94.99,99.99
BT,#valid,3,6,9,13,16,19,22,26,29,32,35,39,42,45,48,52,55,58,61,65
size=5,#expl.,16,46,100,181,235,291,350,443,484,538,599,664,737,793,864,929,1002,1058,1132,1242
,%expl.,1.26,3.62,7.86,14.23,18.47,22.88,27.52,34.83,38.05,42.3,47.09,52.2,57.94,62.34,67.92,73.03,78.77,83.18,88.99,97.64
BT,#valid,345,691,1037,1383,1729,2075,2421,2767,3113,3459,3804,4150,4496,4842,5188,5534,5880,6226,6572,6918
size=9,#expl.,12425,25972,38895,52320,65795,80310,93066,106542,119467,132854,146407,160847,173733,187110,200758,215148,228265,242238,256681,272616
,%expl.,4.56,9.52,14.26,19.19,24.13,29.45,34.13,39.07,43.81,48.72,53.69,58.98,63.71,68.61,73.62,78.89,83.7,88.83,94.12,99.97
BT,#valid,1185,2371,3557,4742,5928,7114,8299,9485,10671,11857,13042,14228,15414,16599,17785,18971,20156,21342,22528,23714
size=10,#expl.,49505,101412,151890,204206,255987,311169,361402,413055,464101,515710,568039,622705,673272,725147,777459,832259,884510,938042,992154,1052130
,%expl.,4.7,9.64,14.43,19.41,24.33,29.57,34.35,39.25,44.11,49.01,53.98,59.18,63.98,68.91,73.89,79.09,84.06,89.15,94.29,99.99
SL,#valid,23,46,69,92,115,138,161,184,207,231,254,277,300,323,346,369,392,415,438,462
size=5,#expl.,63,126,192,299,351,435,510,609,751,859,919,1008,1098,1216,1344,1428,1552,1686,1828,2074
,%expl.,3.01,6.02,9.17,14.28,16.76,20.77,24.36,29.08,35.86,41.02,43.89,48.14,52.44,58.07,64.18,68.19,74.12,80.52,87.3,99.04
SL,#valid,4618,9237,13856,18475,23094,27713,32332,36951,41570,46189,50807,55426,60045,64664,69283,73902,78521,83140,87759,92378
size=9,#expl.,20798,48963,77791,112347,142872,175098,211779,248673,290403,330180,360122,399301,432021,472882,519226,555114,597164,643661,694092,756076
,%expl.,2.75,6.48,10.29,14.86,18.9,23.16,28.01,32.89,38.41,43.67,47.63,52.81,57.14,62.54,68.67,73.42,78.98,85.13,91.8,100.0
SL,#valid,17635,35271,52907,70543,88179,105814,123450,141086,158722,176358,193993,211629,229265,246901,264537,282172,299808,317444,335080,352716
size=10,#expl.,95184,220950,348393,493824,630760,769593,929045,1083986,1262283,1435387,1564430,1733550,1874160,2047261,2242259,2397565,2575703,2770167,2980759,3233539
,%expl.,2.94,6.83,10.77,15.27,19.51,23.8,28.73,33.52,39.04,44.39,48.38,53.61,57.96,63.31,69.34,74.15,79.65,85.67,92.18,100.0
RBT,#valid,5,11,17,23,28,34,40,46,51,57,63,69,74,80,86,92,97,103,109,115
size=5,#expl.,12,19,41,934,946,1823,1856,1915,1943,2003,2085,2229,2474,2633,3369,3527,4115,4516,4857,5927
,%expl.,0.2,0.31,0.68,15.38,15.58,30.02,30.56,31.53,31.99,32.98,34.33,36.7,40.74,43.36,55.48,58.08,67.76,74.36,79.98,97.6
RBT,#valid,337,675,1012,1350,1688,2025,2363,2701,3038,3376,3714,4051,4389,4727,5064,5402,5740,6077,6415,6753
size=9,#expl.,694384,729477,766250,778331,827161,873060,948657,994996,1088405,1123551,1167988,1218697,1307774,1319805,1362936,1419797,1513295,1569210,1660412,2264713
,%expl.,30.6,32.15,33.77,34.3,36.45,38.48,41.81,43.85,47.97,49.52,51.48,53.71,57.64,58.17,60.07,62.57,66.69,69.16,73.18,99.81
RBT,#valid,921,1843,2765,3687,4609,5531,6453,7375,8297,9219,10141,11063,11985,12907,13829,14751,15673,16595,17517,18439
size=10,#expl.,3649543,3814898,3892124,4074205,4307902,4716508,4827217,5176506,5582167,5672692,5893073,5990032,6193722,6308511,6536287,6749271,6885998,7356279,8898387,10934228
,%expl.,33.35,34.86,35.56,37.23,39.36,43.1,44.11,47.3,51.01,51.83,53.85,54.73,56.6,57.64,59.73,61.67,62.92,67.22,81.31,99.91
SLL,#valid,3,7,11,15,19,22,26,30,34,38,41,45,49,53,57,60,64,68,72,76
size=5,#expl.,21,69,117,164,212,248,293,341,389,437,471,520,568,616,663,699,747,795,843,891
,%expl.,2.34,7.68,13.03,18.26,23.61,27.62,32.63,37.97,43.32,48.66,52.45,57.91,63.25,68.6,73.83,77.84,83.18,88.53,93.88,99.22
SLL,#valid,1322,2644,3966,5288,6610,7932,9255,10577,11899,13221,14543,15865,17187,18510,19832,21154,22476,23798,25120,26443
